name|ingredients|url|image|cookTime|recipeYield|datePublished|prepTime|description|difficulty
Green Curry with Tofu|Ingredients for chili paste: 2 green hot chilies (Thai chilies) 1 tablespoon chopped shallots 1 teaspoon chopped galangal  1/2 teaspoon chopped kaffir lime rind 1 tablespoon chopped garlic 1 tablespoon chopped lemongrass 1 tablespoon chopped krachai 1/4 teaspoon roasted cumin seeds 1/4 teaspoon roasted coriander seeds 1/2 teaspoon salt Other ingredients: 1 cup sliced eggplants 1/4 cup smaller pea-like eggplants (makheau phuang) 1/3 cup sliced onion 70 grams sliced chicken (or firm tofu) 1 teaspoon sugar 1 tablespoon fish sauce (or soy sauce for vegetarians) 3 kaffir lime leaves 2 stems sweet basil (horapaa) 1 cup coconut milk 1 cup water (Again, chicken can be replaced tofu)|http://www.101cookbooks.com/archives/000130.html|http://www.101cookbooks.com/mt-static/images/food/.jpg|||2004-12-01||101 Cookbooks: Green Curry with Tofu Recipe|Easy
Wild Mushroom Salad Recips|150 g (5 oz) assorted wild mushrooms 2 tablespoons stock pinch of salt pinch of white sugar - optional 3 tablespoons lime juice (you might use less) 2 tablespoons fish sauce (for veg: substitute a splash of soy sauce) large pinch of roasted chili powder 4 shallots, sliced handful of mixed mint and coriander leaves 2 tablespoons shredded pak chii farang (long-leaf coriander) 1 tablespoon chopped spring (green) onion 1 tablespoon ground roasted rice -a few sprigs of Thai basil -sliced cabbage and cucumber|http://www.101cookbooks.com/archives/000140.html|http://www.101cookbooks.com/mt-static/images/food/thaiwildmush.jpg|||2005-02-01||101 Cookbooks: Wild Mushroom Salad Recipe|Easy
Fresh Apple Salsa|2 tart apples, locally grown if possible 4 tablespoons lime juice 1 fresh jalapeno chile 1 fresh Anaheim chile 1/2 medium onion, finely chopped Handful of cilantro, roughly chopped 1/2 cup (2 ounces) walnuts, coarsely chopped and lightly toasted 2 tablespoons peeled and finely slivered fresh ginger 1/4 teaspoon salt|http://www.101cookbooks.com/archives/000170.html|http://www.101cookbooks.com/mt-static/images/food/applesalsa.jpg||Serves 4 to 6.|2005-05-28||101 Cookbooks: From the Archives: Fresh Apple Salsa Recipe|Easy
Pierce Street Vegetarian Chili Recipe|2 tablespoons olive oil 1 large yellow onion, chopped 2 shallots, chopped 8 small/med garlic cloves, finely chopped 1 tablespoon ginger, peeled and grated 3 tablespoons chili powder 1 teaspoon ground cumin 1 serrano pepper, seeded and finely chopped 1 chipotle pepper (from can or rehydrate), minced 1 28-ounce can of crushed tomatoes 10  cups vegetable broth 1 1/2 cups cooked chickpeas (canned is fine) 2 1/4 cups black, brown, or green lentils (or combo), rinsed and picked over 2/3 cup pearled barley or pearled farro 2/3 cup bulgur wheat 1 teaspoon fine grain sea salt (or to taste) toppings (opt): a bit of chopped serranos, a bit of feta or dollop of thinned out salted yogurt, a drizzle of equal parts chopped fresh oregano and olive oil, chopped onion|http://www.101cookbooks.com/archives/pierce-street-vegetarian-chili-recipe.html|http://www.101cookbooks.com/mt-static/images/food/vegetarian_chili_recipe.jpg|||2009-05-13||The best pot of chili I've made in years. A vegetarian chili recipe Inspired by a bunch of those little bags of remnant grains and pulses that collect in my cupboards - bulgur, farro, and lentils, join chile peppers, crushed tomatoes, some chickpeas, and a secret ingredient.|Easy
Vegetarian Tortilla Soup Recipe|6-8 corn tortillas, cut in half and then into  matchstick-thin strips a big splash of extra virgin olive oil fine grain sea salt 20 small yellow or red cherry tomatoes another splash of extra virgin olive oil 3 cloves garlic, chopped 1 large white onion, chopped 1 teaspoon ground cumin 2 teaspoons ground coriander 1 teaspoon cayenne or other spicy red chili powder 1 14-ounce can crushed tomatoes 6 cups vegetable broth (or water) a few sun-dried tomatoes, chopped 1/4 cup of goat cheese, crumbled|http://www.101cookbooks.com/archives/vegetarian-tortilla-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/tortilla_soup_recipe.jpg||Makes about 6 servings.|2008-06-19||My tortilla soup recipe - a full-bodied, spicy vegetarian broth envelops a nest of baked tortilla matchsticks. Tiny roasted tomatoes along with a bit of goat cheese lend tang and texture, and flecks of sun-dried tomatoes bring depth and richness to each bowl.|Easy
Bourbon Baked Sweet Potatoes|5-6 chubby, red-fleshed sweet potatoes Splash of extra-virgin olive oil Salt and pepper 1-inch square of ginger, peeled and grated 2 generous pinches of ground cinnamon or canela 1 generous pinch of ground cloves Zest of one lemon (orange zest would be good too) 3T unsalted butter, melted and cooled a bit 1/4 cup maple syrup Splash of milk (2T. or so) Splash of bourbon (2T. or so) 1/4 freshly grated Parmesan (not from the plastic container!) Spicy Pecans (recipe below) 1 tablespoon unsalted butter 2 cups pecans 1/3 cup brown sugar 1 teaspoon paprika 1 teaspoon red chile powder 3 tablespoons cider vinegar|http://www.101cookbooks.com/archives/000129.html|http://www.101cookbooks.com/mt-static/images/food/bourbonsweet2.jpg|||2004-11-26||101 Cookbooks: Bourbon Baked Sweet Potatoes Recipe|Easy
Red Rice Salad with Boiled Eggs and Macadamias|1 3/4 cups to 2 cups water 1 cup red rice 2 tablespoons oil  4 large shallots, chopped 3 cloves garlic, chopped 1 large red chile, seeded and chopped 1-inch piece ginger root, chopped (hs note: I grated it) 1 teaspoon ground coriander 1 large carrot, thinly sliced 8 ounces green beans, trimmed and chopped 1/2 cup coconut milk (hs note: lite is fine) 1/4 cup soy sauce 1/2 teaspoon molasses 4 large eggs, boiled and peeled 1 large lime, quartered 1/2 cup julienned fresh basil 1/4 cup macadamia nuts, toasted and chopped|http://www.101cookbooks.com/archives/red-rice-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/redricesaladrecipe_07.jpg||Serves 8.|2007-09-19||Indonesian red rice salad with boiled eggs and macadamias. Riveting to look at, with a wonderfully complex array of flavors and textures to enjoy. |Easy
Rajasthani Buttermilk Curry Recipe|1 tablespoon vegetable oil (hs note: I used clarified butter) 1 1/2 teaspoons black mustard seeds 1/2 teaspoon cumin seeds 1/2 teaspoon turmeric 1 large or 2 medium scallions, trimmed, sliced lengthwise in half and then crosswise into 1-inch lengths 1 green cayenne chile, minced (hs note: the serrano I had on hand was a reasonable substitute) 1/4 water, if using yogurt 1 cup plain (full-or-reduced fat) yogurt OR 1 1/4 cups buttermilk 1/2 teaspoon salt, or to taste 2/3 tablespoons chopped coriander leaves (hs note: also known as cilantro)|http://www.101cookbooks.com/archives/001407.html|http://www.101cookbooks.com/mt-static/images/food/buttermilk_curry_recipe.jpg||Serves 2 to 3.|2006-05-18||Rajasthani buttermilk curry recipe from the award-winning cookbook Mangoes &amp; Curry Leaves, by Jeffrey Alford and Naomi Duguid.|Easy
Roasted Cauliflower Recipe|4-inch segment of a thin day-old baguette 1 medium head of cauliflower, washed extra-virgin olive oil scant 1/2 teaspoon salt 2 cloves garlic, minced 1 fresh red chile pepper, minced|http://www.101cookbooks.com/archives/001533.html|http://www.101cookbooks.com/mt-static/images/food/roastedcauliflower.jpg||Serves 4. |2006-11-29||Oven-roasted cauliflower florets with breadcrumbs, garlic, red chile pepper, salt and olive oil.|Easy
Slurp-tastic Herb Noodles Recipe|4 ounces thin, dried spinach pasta  (thin) 1 cup coconut milk (light is fine) scant 1 tablespoon green or yellow curry paste 1 1/2 cups lightly flavored vegetable broth ~1/4 teaspoon salt (more or less depending on the saltiness of your broth) 6 ounces tofu, cut into small cubes or pieces 1/4 cup chives, minced 1/3 cup cilantro, chopped 1/4 cup basil, chopped just before using pinch of crushed red chile peppers|http://www.101cookbooks.com/archives/slurptastic-herb-noodles-recipe.html|http://www.101cookbooks.com/mt-static/images/food/herb_noodles.jpg||Serves 2 to 4.|2008-09-30||A big, slurpy bowl of whisper-thin spinach noodles draped in a spicy curry and herb broth - inspired by a beautiful box of noodles I picked up in Mill Valley, Ca.|Easy
Borlotti Bean Mole with Roast Winter Squash|~1 1/2 cups (7 ounces) fresh borlotti beans ~1 1/2 cups (7 ounces) winter squash olive oil 4 - 5  big leaves of kale (3 1/2 ounces) 2 tablespoons butter 1 medium onion, chopped 2 - 4 red jalapeno chiles, halved, seeded, and chopped 2 garlic cloves, chopped 1 pound of fresh plum tomatoes, chopped or 14-ounce can 2 teaspoons paprika 1 ounce of almonds, dark roasted and finely ground 2 ounces dark 70% dark chocolate, broken into pieces salt|http://www.101cookbooks.com/archives/borlotti-bean-mole-with-roast-winter-squash-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pumpkin_mole_recipe.jpg||Serves 4.|2008-10-11||A rich, hearty vegetarian mole recipe from Denis Cotter's new book. Seasonal beans, squash, and kale are baked in a rich, hearty chocolate and paprika-spiked mole. |Easy
Pappardelle with Spiced Butter|1/4 teaspoon saffron threads pinch of salt 1 stick / 4 oz / 100 g butter 2 tablespoons extra virgin olive oil 6 medium shallots, chopped 1/2 teaspoon ground ginger 1/2 teaspoon sweet paprika 1/2 teaspoon ground coriander 1/2 teaspoon ground cinnamon scant 1/2 teaspoon cayenne pepper 1/4 teaspoon red chile flakes 1/4 teaspoon ground turmeric 1/4 teaspoon+ fine grain sea salt black pepper 1/2 pound / 8 oz / 225 g dried pappardelle egg pasta  1/2 pound / 8 oz / 225 g asparagus, sliced into 1/4-inch rounds splash of cream 1/2 cup / 2 oz / 60 g pine nuts, toasted and chopped 2 tablespoons roughly chopped mint 2 tablespoons roughly chopped parsley|http://www.101cookbooks.com/archives/pappardelle-with-spiced-butter-recipe.html|http://www.101cookbooks.com/mt-static/images/food/spiced_pappardelle_recipe.jpg|PT10M||2010-05-18|PT20M|A recap of my Sunday, including a few portraits I shot, plus a top-notch pasta with spiced butter and asparagus inspired by a recipe from Yotam Ottolenghi's new book.|Medium
A Good Soup for the Sick|1 pound cranberry beans (like Borlotti) 8 cups of water 15 medium cloves of garlic, peeled and trimmed 2 big shallots (I might have used a white onion but didn't have one), sliced on the axis into thin crescents 2-3 dried smoked chiles (I used smoked serranos) but I suspect dried chipotles or even one or two chipotles from the can (in adobo sauce) would work nicely 2 teaspoons+  fine sea salt for seasoning a drizzle of flavorful extra-virgin olive oil a small handful of cilantro, chopped a couple (optional) handfuls of a salty hard cheese, Parmesan, grated (I think my mystery cheese was actually Three Sisters Serena)|http://www.101cookbooks.com/archives/001397.html|http://www.101cookbooks.com/mt-static/images/food/soup_for_when_sick.jpg||Serves 4 to 6|2006-04-21||Turn to this miraculously delicious soup when you are feeling sick - beans, water, garlic, shallots, chiles. Total active prep time was under five minutes, the rest is just waiting and anticipating. |Easy
Lively Up Yourself Lentil Soup Recipe|2 cups black beluga lentils (or green French lentils), picked over and rinsed 1 tablespoon extra virgin olive oil 1 large onion, chopped 1 teaspoon fine-grain sea salt 1 28-ounce can crushed tomatoes 2 cups water  3 cups of a big leafy green (chard, kale, etc), rinsed well, deveined, finely chopped Saffron Yogurt a pinch of saffron (30-40 threads) 1 tablespoon boiling water two pinches of salt 1/2 cup 2% Greek Yogurt  Variations: - You can serve it with a poached egg on top, - or crunchy, fried shallots, - with a drizzle of chive infused cream, - or with chunks of tiny pan-fried butternut squash cubes. - Make a thicker version by using just a bit of water, and then spoon it over an omelette in the morning. - Have some cooked farro or wheat berries around? Toss some in. Millet might be good too. - You can finish the soup by adding your favorite spices or spice blends. Smoked paprika, crushed chiles, toasted cumin, would all work nicely.|http://www.101cookbooks.com/archives/lively-up-yourself-lentil-soup-recipe.html|http://www.101cookbooks.com/mt-static/images/food/lentil_soup_recipe_07.jpg||Serves 6 to 8. |2008-01-03||Healthy, quick, and satisfying this lentil soup recipe delivers layer after layer of flavor. The tang of the tomatoes plays off the earthiness of the lentils, and the fragrant bolt of saffron yogurt brightens each bowl.|Easy
Palak Daal|1 cup / 6.5 oz / 185 g white urid or urad daal, picked over and rinsed 6 cups / 1.5 liters water, plus more if necessary 1/2 pound spinach, washed and finely chopped 1 tablespoon ginger, peeled and finely chopped 1/2 teaspoon turmeric 2 medium green chile peppers, minced 2 tomatoes, chopped 1/2 teaspoon salt 2 tablespoons butter 1/2 teaspoon cumin seeds 1 teaspoon pure red chile powder a pinch of asafetida, optional more salt to taste juice of 1/2 a lemon 1/4 cup cilantro, chopped|http://www.101cookbooks.com/archives/palak-daal-recipe.html|http://www.101cookbooks.com/mt-static/images/food/palak_daal_recipe.jpg|PT120M||2010-01-30|PT20M|A palak daal recipe from Kasa's Anamika Khanna - a hearty pot of spinach, lentils, and spices. Kasa is a favorite Indian restaurant of mine here in San Francisco.|Hard
A Quartet of Compound Butters|4 tablespoons unsalted organic butter, room temperature 1 or 2 Numi Desert Lime tea bags (depending on how strong you want it), cut open and the contents ground in a mortar and pestle 1/4 teaspoon fine grain sea salt 4 tablespoons unsalted organic butter, room temperature 1 tablespoon organic cane sugar (I used Florida Crystals) 1/3 cup dehydrated organic strawberries, minced 4 tablespoons unsalted organic butter, room temperature 2 serrano chiles, deveined and  seeded, loosely chopped 1/4 teaspoon fine grain sea salt 4 tablespoons unsalted organic butter, room temperature 1 - 1 1/2 teaspoons smoked paprika 1/4 teaspoon fine grain sea salt|http://www.101cookbooks.com/archives/001470.html|http://www.101cookbooks.com/mt-static/images/food/compoundbutter.jpg|||2006-08-08||A quartet of vibrant, colorful, and unique compound butter recipes - Smoked Paprika, Dry Desert Lime, Raw Serrano, and Dehydrated Strawberry.  |Easy
My Favorite Grilled Kabob Recipe|Muhammara Slather: 1 tablespoon crushed red pepper flakes or 1 small red chile 1/2 teaspoon ground cumin 3/4 cup walnuts, toasted 1/4 cup whole-grain  bread crumbs 1/4 cup extra-virgin olive oil 2 tablespoons pomegranate molasses 1/4 cup tomato paste 2 to 3 roasted red peppers 1/2 to 1 cup warm water 1/2 teaspoon fine-grain sea salt Kabobs 2 red onions, each cut into 6 wedges 3 lemons, each cut into 4 lengthwise wedges 12 ounces extra-firm tofu, cut into 12 equal-sized cubes 12 mushrooms extra-virgin olive oil, for brushing fine-grain sea salt Special equipment: 6 wooden skewers|http://www.101cookbooks.com/archives/my-favorite-grilled-kabob-recipe.html|http://www.101cookbooks.com/mt-static/images/food/grilledkabobsrecipe.jpg||Makes 6 kabobs.|2007-06-27||A kabob recipe featuring grilled mushrooms, lemons, tofu red onions and a delicious red pepper walnut slather.|Easy
Pineapple Rice Recipe|1/3 cup macadamia oil, olive oil, or sunflower oil 2 teaspoons toasted sesame oil 1/4 cup (fresh or canned) all-natural 100% pineapple juice 1 garlic clove 1/4 teaspoon red pepper flakes 2 tablespoons soy sauce (or shoyu) 1 cup pineapple, cut into chunks 2 teaspoons freshly grated ginger 1/4 teaspoon fine grain sea salt 4 handfuls of mizuna, watercress, or arugula 2 1/2 cups cooked brown rice, room temperature 4 green onions, thinly sliced 3 shallots, peeled and thinly sliced 1 cup cashews, roasted/toasted and chopped 1/2 small serrano chile, seeded and deveined, and minced (optional) 4 ounces seitan, cut into little bits and pan-fried (optional)|http://www.101cookbooks.com/archives/pineapple-rice-recipe.html|http://www.101cookbooks.com/mt-static/images/food/pineapple_rice_recipe.jpg|PT5M||2009-09-15|PT15M|A nice platter of greens and brown rice doused in a spicy-salty-sweet pineapple dressing flecked with seitan. It's good hot or at room temperature.|Easy
Red Posole Recipe|1 pound / 16 oz / 453g dried ready-to-cook posole / hominy (see head notes) 1 small white onion, diced 3 medium garlic cloves, peeled and smashed 3 dried red New Mexican chile peppers, stems removed (see head notes) 1 teaspoon dried Mexican oregano Red Sauce: 2 tablespoons extra-virgin olive oil 2 tablespoons finely diced white onion 2 medium cloves garlic, finely chopped 1 teaspoon dried oregano 2 tablespoons flour 1/2 teaspoon ground cumin 1/2 cup / 2 oz / 50g ground red chile (see head notes) 1/2 teaspoon fine grain sea salt a quarter of one lime|http://www.101cookbooks.com/archives/red-posole-recipe.html|http://www.101cookbooks.com/mt-static/images/food/red_posole_recipe.jpg|PT20M||2009-12-24|PT240M|A big pot of red posole made on a stormy day. A brick-red brothy sauce surrounds the posole, and individual bowls are topped with thin wisps of pan-fried tortillas, a pinch of toasted Mexican oregano, and a bit of crumbled feta.|Hard
Dried Fava Soup with Mint and Guajillo Chiles|1 pound / 16 oz / 450g hulled dry fava beans, rinsed (see photo for reference if needed) 8 cups / 2 liters good vegetable broth or water 6 garlic cloves, unpeeled 1 large white onion, sliced 1/2-inch / 1 cm thick 1 1/2 pounds / 24 oz / 680g ripe tomatoes 6 medium dried guajillo or pasilla chiles, stemmed &amp; seeded 2 tablespoons extra virgin olive oil 2 tablespoons cider vinegar 3/4 teaspoon dried Mexican oregano 1 1/2 teaspoon fine-grain sea salt, plus more to taste 1/2 cup / .25 oz / 10g loosely packed chopped cilantro 2 tablespoons chopped fresh mint, pref. spearmint 1/2 cup / 2 oz / 55g crumbled Mexican queso anejo or feta|http://www.101cookbooks.com/archives/dried-fava-soup-with-mint-and-guajillo-chiles-recipe.html|http://www.101cookbooks.com/mt-static/images/food/fava_soup_recipe.jpg|PT100M||2010-09-15|PT10M|Easily one of the best, most interesting soups I've cooked in years. Adapted from a recipe in Rick Bayless's Mexican Kitchen - a dried fava bean and roasted tomato base topped with a fascinating cider-kissed tangy/sweet quick-pickled chile topping.|Hard
Ottolenghi Soba Noodles|1/2 cup / 120 ml brown rice vinegar scant 1/3 cup / 1.5 oz / 40 g fine-grain natural cane sugar or brown sugar 1/2 teaspoon fine grain sea salt 2 garlic cloves, peeled and crushed 1/4 teaspoon red pepper flakes or 1/2 fresh red chile, minced 1 teaspoon toasted sesame oil grated zest and juice of one lime 1/3 cup / 80 ml sunflower oil or olive oil 1 medium eggplant/aubergine 3/4 lb / 12 oz, cut into 1/2-inch / 1cm chunks 8 ounces / 225g dried soba noodles 1 large ripe mango, cut into small chunks 8 ounces grilled or pan-fried tofu, cut into tiny cubes 1/2 medium red onion, very thinly sliced a handful of basil leaves, slivered a handful of fresh cilantro / coriander, chopped|http://www.101cookbooks.com/archives/ottolenghi-soba-noodles-with-aubergine-and-mango-recipe.html|http://www.101cookbooks.com/mt-static/images/food/ottolenghi_soba_noodles.jpg|PT30M||2010-10-26|PT15M|Spicy brown sugar and lime-sauced soba noodles with tofu, eggplant, mango and lots of herbs. Inspired by a rare mango find, and a recipe in Yotam Ottolenghi's cookbook, Plenty.|Medium
Cucumber Peanut Salad|3 medium cucumbers, partially peeled 1-2 green serrano chiles, stemmed and minced 1/2 cup / 2.5 ounces / 70 g peanuts, toasted 1/3 cup / 1.5 ounces / 45 g dried large-flake coconut, toasted 2 tablespoons fresh lemon juice 1 teaspoon natural cane sugar 1 tablespoon, ghee, clarified butter, or sunflower oil 1/2 teaspoon black mustard seeds 1/4 teaspoon cumin seeds scant 1/2 teaspoon fine grain sea salt a handful cilantro, chopped|http://www.101cookbooks.com/archives/cucumber-peanut-salad-recipe.html|http://www.101cookbooks.com/mt-static/images/food/cucumber_peanut_salad_recipe.jpg|PT3M||2011-05-03|PT10M|We picked two new cookbooks to focus on in the 101 Cookbooks Library, and this recipe is inspired by a recipe from one of them. A refreshing chopped cucumber salad loaded with peanuts, spices, coconut, and chiles.|Easy
Sunchoke and Cashew Stir-fry|1 teaspoon peanut or sunflower oil 1 egg, beaten 1 tablespoon peanut or sunflower oil, plus more if needed 1 tablespoon minced ginger 2 cloves minced garlic 3 medium shallots, chopped 1/2 serrano chile pepper, deveined and minced 1 cup very thinly sliced sunchokes, well scrubbed Kernels from 2 ears of corn 1 1/2 - 2 cups day-old, cooked brown rice 1 egg, beaten (optional) 1 tablespoon soy sauce, plus more to taste 1/3 cup toasted almond slices 1/2 cup toasted cashews fine grain sea salt and pepper, to taste plenty of chopped fresh basil|http://www.101cookbooks.com/archives/sunchoke-and-cashew-stirfry-recipe.html|http://www.101cookbooks.com/mt-static/images/food/sunchoke_cashew_stirfry_recipe.jpg|PT3M|Serves 2-3 as a main course, more as part of a larger multi-course meal.|2012-07-12|PT10M|A beautiful fried rice made with brown rice, egg, sunchokes, cashews, and basil when Grace Young came over for lunch last week.|Easy
Baked Carrot Oven Fries|a big bunch of farmers' market carrots, washed, trimmed extra virgin olive oil sea salt 4 ounces organic tofu 1/4 cup orange juice quick squeeze of lime scant 1 teaspoon adobo sauce from a can of chipotle chiles 1/2 teaspoon fine grain sea salt|http://www.101cookbooks.com/archives/001529.html|http://www.101cookbooks.com/mt-static/images/food/bakedcarrotfries1.jpg|||2006-11-20||Made from carrots, this is a healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries (made from carrots) are simply roasted with olive oil and a sprinkling of sea salt.  |Easy
